n, time
89500, 5.127654
89600, 5.144553
89700, 5.149725
89800, 5.161814
89900, 5.174940
90000, 5.184676
90100, 5.203981
90200, 5.208860
90300, 5.219941
90400, 5.229997
90500, 5.241678
90600, 5.255106
90700, 5.268045
90800, 5.277146
90900, 5.288860
91000, 5.301471
91100, 5.312675
91200, 5.323861
91300, 5.337464
91400, 5.347608
91500, 5.359367
91600, 5.373337
91700, 5.383043
91800, 5.395377
91900, 5.407160
92000, 5.418426
92100, 5.429823
92200, 5.442945
92300, 5.453197
92400, 5.465764
92500, 5.477836
92600, 5.488757
92700, 5.500656
92800, 5.514753
92900, 5.526200
93000, 5.539769
93100, 5.549626
93200, 5.560128
93300, 5.573348
93400, 5.583773
93500, 5.596153
93600, 5.608455
93700, 5.619560
93800, 5.631356
93900, 5.644960
94000, 5.658352
94100, 5.674073
94200, 5.687209
94300, 5.691957
94400, 5.706094
94500, 5.716337
94600, 5.729618
94700, 5.739142
94800, 5.751382
94900, 5.767042
95000, 5.776659
95100, 5.792625
95200, 5.803882
95300, 5.813306
95400, 5.824719
95500, 5.842074
95600, 5.851468
95700, 5.861702
95800, 5.875044
95900, 5.886326
96000, 5.899604
96100, 5.916684
96200, 5.924638
96300, 5.935283
96400, 5.947192
96500, 5.961083
96600, 5.972909
96700, 5.985735
96800, 5.997183
96900, 6.011337
97000, 6.022899
97100, 6.041897
97200, 6.046966
97300, 6.060651
97400, 6.072925
97500, 6.085063
97600, 6.096248
97700, 6.110019
97800, 6.121135
97900, 6.135095
98000, 6.145639
98100, 6.162119
98200, 6.171621
98300, 6.186363
98400, 6.196616
98500, 6.210960
98600, 6.221370
98700, 6.237770
98800, 6.248023
98900, 6.260555
99000, 6.275795
99100, 6.288346
99200, 6.299143
99300, 6.310869
99400, 6.325467
99500, 6.335561
99600, 6.349506
99700, 6.361894
99800, 6.375619
99900, 6.389366
100000, 6.401475
