n, time
61400, 0.037209
61500, 0.032059
61600, 0.036120
61700, 0.044709
61800, 0.074735
61900, 0.049042
62000, 0.050504
62100, 0.027140
62200, 0.031368
62300, 0.032053
62400, 0.098013
62500, 0.032711
62600, 0.066910
62700, 0.050945
62800, 0.056727
62900, 0.063754
63000, 0.051505
63100, 0.061648
63200, 0.067166
63300, 0.055626
63400, 0.036008
63500, 0.047811
63600, 0.048608
63700, 0.037638
63800, 0.040456
63900, 0.042956
64000, 0.078876
64100, 0.137685
64200, 0.039993
64300, 0.046874
64400, 0.100940
64500, 0.044655
64600, 0.063168
64700, 0.038989
64800, 0.072347
64900, 0.058502
65000, 0.064794
65100, 0.038979
65200, 0.053314
65300, 0.023481
65400, 0.048869
65500, 0.058288
65600, 0.068209
65700, 0.076447
65800, 0.062472
65900, 0.034162
66000, 0.035527
66100, 0.064886
66200, 0.062393
66300, 0.051139
66400, 0.028363
66500, 0.034132
66600, 0.072877
66700, 0.042186
66800, 0.112632
66900, 0.051791
67000, 0.031330
67100, 0.057580
67200, 0.030742
67300, 0.075488
67400, 0.042492
67500, 0.069988
67600, 0.030911
67700, 0.121603
67800, 0.031635
67900, 0.032572
68000, 0.074492
68100, 0.055804
68200, 0.062588
68300, 0.037233
68400, 0.057381
68500, 0.056662
68600, 0.030902
68700, 0.130190
68800, 0.100735
68900, 0.075066
69000, 0.038698
69100, 0.043905
69200, 0.038383
69300, 0.049434
69400, 0.045087
69500, 0.051455
69600, 0.088897
69700, 0.041106
69800, 0.032725
69900, 0.076127
70000, 0.033197
70100, 0.028814
70200, 0.094758
70300, 0.054254
70400, 0.066721
70500, 0.069245
70600, 0.046575
70700, 0.052946
70800, 0.053551
70900, 0.077981
71000, 0.061122
71100, 0.195032
71200, 0.142268
71300, 0.101651
71400, 0.097520
71500, 0.116246
71600, 0.148355
71700, 0.037862
71800, 0.036670
71900, 0.068315
72000, 0.040599
72100, 0.077515
72200, 0.081774
72300, 0.040563
72400, 0.032180
72500, 0.055541
72600, 0.216257
72700, 0.035675
72800, 0.052032
72900, 0.045270
73000, 0.123750
73100, 0.046326
73200, 0.046000
73300, 0.086022
73400, 0.062071
73500, 0.055832
73600, 0.062889
73700, 0.125222
73800, 0.068625
73900, 0.038995
74000, 0.055583
74100, 0.041757
74200, 0.056277
74300, 0.060970
74400, 0.107761
74500, 0.028837
74600, 0.135965
74700, 0.030086
74800, 0.080820
74900, 0.043174
75000, 0.027320
75100, 0.108102
75200, 0.044481
75300, 0.081434
75400, 0.069055
75500, 0.133171
75600, 0.084966
75700, 0.061657
75800, 0.052477
75900, 0.054122
76000, 0.125045
76100, 0.214299
76200, 0.060988
76300, 0.117936
76400, 0.109569
76500, 0.241588
76600, 0.055998
76700, 0.062853
76800, 0.065564
76900, 0.047151
77000, 0.078414
77100, 0.052593
77200, 0.114101
77300, 0.037316
77400, 0.067431
77500, 0.048272
77600, 0.204142
77700, 0.062638
77800, 0.072906
77900, 0.081543
78000, 0.103676
78100, 0.080131
78200, 0.049420
78300, 0.074711
78400, 0.062831
78500, 0.043592
78600, 0.081705
78700, 0.077413
78800, 0.160206
78900, 0.060072
79000, 0.053743
79100, 0.124273
79200, 0.055502
79300, 0.125258
79400, 0.158974
79500, 0.304967
79600, 0.081758
79700, 0.075316
79800, 0.088605
79900, 0.129584
80000, 0.049605
80100, 0.054669
80200, 0.065341
80300, 0.092746
80400, 0.146102
80500, 0.125330
80600, 0.053221
80700, 0.069971
80800, 0.044053
80900, 0.082003
81000, 0.204624
81100, 0.093053
81200, 0.052415
81300, 0.047196
81400, 0.095096
81500, 0.073999
81600, 0.053327
81700, 0.339836
81800, 0.066273
81900, 0.075597
82000, 0.129485
82100, 0.047654
82200, 0.135918
82300, 0.122694
82400, 0.059410
82500, 0.246870
82600, 0.147529
82700, 0.175589
82800, 0.109674
82900, 0.086801
83000, 0.055865
83100, 0.066107
83200, 0.034214
83300, 0.045450
83400, 0.060038
83500, 0.051703
83600, 0.056225
83700, 0.055498
83800, 0.049300
83900, 0.053927
84000, 0.078150
84100, 0.118722
84200, 0.347460
84300, 0.138250
84400, 0.059365
84500, 0.046623
84600, 0.071461
84700, 0.098907
84800, 0.033854
84900, 0.077367
85000, 0.137175
85100, 0.047145
85200, 0.053796
85300, 0.052747
85400, 0.116354
85500, 0.068706
85600, 0.043522
85700, 0.064679
85800, 0.071788
85900, 0.212259
86000, 0.110507
86100, 0.062863
86200, 0.046682
86300, 0.074662
86400, 0.054521
86500, 0.070530
86600, 0.095091
86700, 0.064268
86800, 0.120097
86900, 0.034457
87000, 0.057476
87100, 0.063433
87200, 0.111437
87300, 0.069326
87400, 0.090365
87500, 0.080272
87600, 0.112788
87700, 0.306517
87800, 0.238944
87900, 0.156386
88000, 0.088754
88100, 0.078423
88200, 0.049588
88300, 0.103245
88400, 0.115324
88500, 0.125939
88600, 0.087809
88700, 0.278387
88800, 0.185488
88900, 0.146557
89000, 0.070358
89100, 0.285224
89200, 0.069544
89300, 0.078450
89400, 0.075219
89500, 0.062245
89600, 0.134406
89700, 0.122003
89800, 0.103707
89900, 0.124144
90000, 0.107305
90100, 0.070027
90200, 0.093240
90300, 0.097273
90400, 0.093094
90500, 0.112432
90600, 0.305754
90700, 0.075548
90800, 0.140615
90900, 0.076735
91000, 0.192067
91100, 0.080545
91200, 0.103608
91300, 0.110719
91400, 0.220943
91500, 0.290824
91600, 0.143173
91700, 0.104777
91800, 0.170823
91900, 0.095100
92000, 0.081180
92100, 0.061451
92200, 0.093947
92300, 0.086182
92400, 0.129614
92500, 0.078331
92600, 0.077460
92700, 0.052846
92800, 0.061859
92900, 0.138723
93000, 0.316417
93100, 0.071257
93200, 0.067496
93300, 0.079403
93400, 0.078477
93500, 0.125263
93600, 0.102132
93700, 0.189564
93800, 0.114673
93900, 0.219134
94000, 0.114686
94100, 0.120333
94200, 0.213374
94300, 0.063589
94400, 0.086193
94500, 0.080367
94600, 0.042726
94700, 0.105601
94800, 0.363219
94900, 0.125567
95000, 0.075256
95100, 0.121302
95200, 0.050082
95300, 0.051519
95400, 0.058577
95500, 0.100258
95600, 0.082271
95700, 0.089221
95800, 0.095113
95900, 0.105559
96000, 0.283472
96100, 0.093777
96200, 0.358483
96300, 0.098835
96400, 0.227235
96500, 0.216668
96600, 0.129013
96700, 0.075043
96800, 0.087571
96900, 0.082900
97000, 0.132582
97100, 0.112833
97200, 0.066941
97300, 0.102361
97400, 0.037416
97500, 0.175098
97600, 0.125333
97700, 0.154637
97800, 0.351152
97900, 0.074064
98000, 0.077400
98100, 0.216191
98200, 0.094746
98300, 0.187971
98400, 0.098951
98500, 0.208319
98600, 0.119813
98700, 0.120282
98800, 0.113604
98900, 0.051168
99000, 0.112807
99100, 0.132418
99200, 0.242056
99300, 0.081034
99400, 0.127215
99500, 0.149630
99600, 0.046199
99700, 0.105393
99800, 0.051605
99900, 0.348249
100000, 0.638479
